country,date,averagetemperature,temperature_change
Austria,2000-01-01,-4.598,-0.244
Austria,2000-02-01,0.8960000000000004,3.23
Austria,2000-03-01,3.0680000000000005,1.71
Austria,2000-04-01,9.16,3.28
Austria,2000-05-01,13.57,2.955
Austria,2000-06-01,16.544,2.374
Austria,2000-07-01,14.867,-0.59
Austria,2000-08-01,17.771,2.534
Austria,2000-09-01,12.455,0.641
Austria,2000-10-01,9.263,2.447
Austria,2000-11-01,4.15,2.558
Austria,2000-12-01,-0.1269999999999997,2.58
Austria,2001-01-01,-2.4380000000000006,1.924
Austria,2001-02-01,0.028,2.409
Austria,2001-03-01,4.477,2.979
Austria,2001-04-01,5.547999999999999,-0.224
Austria,2001-05-01,13.903,3.178
Austria,2001-06-01,13.598,-0.33
Austria,2001-07-01,17.128999999999998,1.549
Austria,2001-08-01,17.859,2.81
Austria,2001-09-01,10.04,-1.844
Austria,2001-10-01,10.382,3.856
Austria,2001-11-01,0.667,-0.843
Austria,2001-12-01,-4.926,-2.33
Austria,2002-01-01,-3.4240000000000004,1.392
Austria,2002-02-01,2.234,4.491
Austria,2002-03-01,4.017,2.79
Austria,2002-04-01,6.517,0.567
Austria,2002-05-01,13.534,2.714
Austria,2002-06-01,17.192,2.941
Austria,2002-07-01,17.357,1.759
Austria,2002-08-01,16.637,1.587
Austria,2002-09-01,11.013,-0.73
Austria,2002-10-01,6.872999999999999,0.271
Austria,2002-11-01,4.562,3.012
Austria,2002-12-01,-1.529,0.942
Austria,2003-01-01,-3.781,0.363
Austria,2003-02-01,-4.949,-2.714
Austria,2003-03-01,3.4000000000000004,2.047
Austria,2003-04-01,6.154,0.37
Austria,2003-05-01,13.955,3.558
Austria,2003-06-01,19.06600000000001,5.174
Austria,2003-07-01,17.866,2.427
Austria,2003-08-01,20.005,5.042
Austria,2003-09-01,12.094,0.323
Austria,2003-10-01,4.405,-2.08
Austria,2003-11-01,3.713,2.228
Austria,2003-12-01,-1.816,0.973
Austria,2004-01-01,-4.173,0.074
Austria,2004-02-01,-0.7749999999999999,1.567
Austria,2004-03-01,1.355,-0.098
Austria,2004-04-01,7.449999999999998,1.492
Austria,2004-05-01,10.13,-0.428
Austria,2004-06-01,14.406,0.448
Austria,2004-07-01,16.256,0.782
Austria,2004-08-01,16.967,1.877
Austria,2004-09-01,12.425,0.484
Austria,2004-10-01,8.805,2.252
Austria,2004-11-01,2.07,0.644
Austria,2004-12-01,-2.043,0.668
Austria,2005-01-01,-2.7750000000000004,1.578
Austria,2005-02-01,-4.726,-2.294
Austria,2005-03-01,0.994,-0.356
Austria,2005-04-01,7.286,1.397
Austria,2005-05-01,12.238,1.712
Austria,2005-06-01,15.518,1.607
Austria,2005-07-01,16.729,1.249
Austria,2005-08-01,14.81,-0.382
Austria,2005-09-01,13.265999999999998,1.365
Austria,2005-10-01,8.318999999999999,1.562
Austria,2005-11-01,1.016,-0.447
Austria,2005-12-01,-3.361,-0.677
Austria,2006-01-01,-6.2620000000000005,-1.775
Austria,2006-02-01,-3.009,-0.877
