country,year,barley_in_tonnes
Austria,1990,1520554.0
Austria,1991,1427045.0
Austria,1992,1342141.0
Austria,1993,1099646.0
Austria,1994,1184350.0
Austria,1995,1065188.0
Austria,1996,1082789.0
Austria,1997,1257800.0
Austria,1998,1211557.0
Austria,1999,1152801.0
Austria,2000,854667.0
Austria,2001,1012407.0
Austria,2002,861391.0
Austria,2003,882322.0
Austria,2004,1006742.37
Austria,2005,879628.0
Austria,2006,914052.0
Austria,2007,810980.0
Austria,2008,967921.0
Austria,2009,835107.0
Austria,2010,777961.0
Austria,2011,859375.0
Austria,2012,662466.0
Austria,2013,734050.59
Austria,2014,845704.92
Austria,2015,840433.0
Austria,2016,859701.77
Austria,2017,782029.0
Austria,2018,691030.0
Austria,2019,828130.0
Austria,2020,864860.0
Austria,2021,742530.0
Belgium,2000,333400.0
Belgium,2001,368700.0
Belgium,2002,342700.0
Belgium,2003,270857.0
Belgium,2004,304777.0
Belgium,2005,301647.0
Belgium,2006,367348.0
Belgium,2007,374454.0
Belgium,2008,328768.0
Belgium,2009,452528.0
Belgium,2010,373400.0
Belgium,2011,339658.0
Belgium,2012,359100.0
Belgium,2013,385614.0
Belgium,2014,399970.0
Belgium,2015,434140.0
Belgium,2016,345559.0
Belgium,2017,381128.0
Belgium,2018,324120.0
Belgium,2019,401060.0
Belgium,2020,329470.0
Belgium,2021,300070.0
Belgium-Luxembourg,1990,593511.0
Belgium-Luxembourg,1991,559982.0
Belgium-Luxembourg,1992,519676.0
Belgium-Luxembourg,1993,458627.0
Belgium-Luxembourg,1994,406126.0
Belgium-Luxembourg,1995,419910.0
Belgium-Luxembourg,1996,454830.0
Belgium-Luxembourg,1997,441226.0
Belgium-Luxembourg,1998,374500.0
Belgium-Luxembourg,1999,387564.0
Bulgaria,1990,1387396.0
Bulgaria,1991,1501617.0
Bulgaria,1992,1194726.0
Bulgaria,1993,932530.0
Bulgaria,1994,1143200.0
Bulgaria,1995,1172650.0
Bulgaria,1996,456669.0
Bulgaria,1997,809841.0
Bulgaria,1998,717105.0
Bulgaria,1999,653799.0
Bulgaria,2000,674461.0
Bulgaria,2001,930918.0
Bulgaria,2002,1211435.0
Bulgaria,2003,524990.0
Bulgaria,2004,1180836.0
Bulgaria,2005,657863.0
Bulgaria,2006,546292.0
Bulgaria,2007,419762.0
Bulgaria,2008,878001.0
Bulgaria,2009,858679.0
Bulgaria,2010,833271.0
Bulgaria,2011,707022.0
Bulgaria,2012,661932.0
Bulgaria,2013,728836.0
Bulgaria,2014,852231.0
Bulgaria,2015,697863.0
Bulgaria,2016,689850.0
Bulgaria,2017,595237.0
Bulgaria,2018,448700.0
Bulgaria,2019,563150.0
Bulgaria,2020,566320.0
Bulgaria,2021,704070.0
Croatia,1992,106811.0
Croatia,1993,125671.0
Croatia,1994,107810.0
Croatia,1995,103281.0
Croatia,1996,88091.0
Croatia,1997,108496.0
Croatia,1998,143510.0
Croatia,1999,124890.0
Croatia,2000,179652.0
Croatia,2001,192067.0
Croatia,2002,206478.0
Croatia,2003,160203.0
Croatia,2004,237603.0
Croatia,2005,162530.0
Croatia,2006,215262.0
Croatia,2007,225265.0
Croatia,2008,279106.0
Croatia,2009,243609.0
Croatia,2010,172359.0
Croatia,2011,193961.0
Croatia,2012,235778.0
Croatia,2013,201339.0
Croatia,2014,175592.0
Croatia,2015,193451.0
Croatia,2016,263165.0
Croatia,2017,260426.0
Croatia,2018,230170.0
Croatia,2019,278600.0
Croatia,2020,325520.0
Croatia,2021,309770.0
Cyprus,1990,98000.0
Cyprus,1991,59500.0
Cyprus,1992,171000.0
Cyprus,1993,193000.0
Cyprus,1994,154000.0
Cyprus,1995,134000.0
Cyprus,1996,128000.0
Cyprus,1997,36000.0
Cyprus,1998,54000.0
Cyprus,1999,112700.0
Cyprus,2000,37600.0
Cyprus,2001,116500.0
Cyprus,2002,128400.0
Cyprus,2003,150000.0
Cyprus,2004,100990.0
Cyprus,2005,60286.0
Cyprus,2006,58372.0
Cyprus,2007,52007.0
Cyprus,2008,3496.0
Cyprus,2009,40092.0
Cyprus,2010,46062.0
Cyprus,2011,45716.0
Cyprus,2012,67028.0
Cyprus,2013,36006.0
Cyprus,2014,2720.0
Cyprus,2015,52175.0
Cyprus,2016,2907.0
Cyprus,2017,18754.0
Cyprus,2018,7920.0
Cyprus,2019,30400.0
Cyprus,2020,41630.0
Cyprus,2021,25610.0
Czechia,1993,2418517.0
Czechia,1994,2419297.0
Czechia,1995,2140487.0
Czechia,1996,2262377.0
Czechia,1997,2484548.0
Czechia,1998,2093101.0
Czechia,1999,2137376.0
Czechia,2000,1629372.0
Czechia,2001,1965611.0
Czechia,2002,1792557.0
Czechia,2003,2068693.0
Czechia,2004,2330582.0
Czechia,2005,2195376.0
Czechia,2006,1897703.0
Czechia,2007,1893408.0
Czechia,2008,2243865.0
Czechia,2009,2003032.0
