country,year,cattle_in_tonnes
Austria,1990,223783.0
Austria,1991,243791.0
Austria,1992,246667.0
Austria,1993,223342.0
Austria,1994,211870.0
Austria,1995,195880.0
Austria,1996,222350.0
Austria,1997,206021.0
Austria,1998,196882.0
Austria,1999,203333.0
Austria,2000,203489.0
Austria,2001,215240.0
Austria,2002,211855.0
Austria,2003,207737.0
Austria,2004,206103.0
Austria,2005,204468.0
Austria,2006,216478.0
Austria,2007,217784.0
Austria,2008,224231.0
Austria,2009,226294.0
Austria,2010,226677.0
Austria,2011,222168.0
Austria,2012,222156.0
Austria,2013,228913.0
Austria,2014,223193.0
Austria,2015,229648.0
Austria,2016,228335.0
Austria,2017,226859.0
Austria,2018,233460.0
Austria,2019,229610.0
Austria,2020,218360.0
Austria,2021,213740.0
Belgium,2000,275360.0
Belgium,2001,285250.0
Belgium,2002,305388.0
Belgium,2003,275170.0
Belgium,2004,280931.0
Belgium,2005,267156.0
Belgium,2006,286979.0
Belgium,2007,287977.0
Belgium,2008,285037.0
Belgium,2009,261801.0
Belgium,2010,281634.0
Belgium,2011,272282.0
Belgium,2012,262280.0
Belgium,2013,249973.0
Belgium,2014,257670.0
Belgium,2015,267877.0
Belgium,2016,278362.0
Belgium,2017,281536.0
Belgium,2018,277310.0
Belgium,2019,263750.0
Belgium,2020,254510.0
Belgium,2021,247120.0
Belgium-Luxembourg,1990,322614.0
Belgium-Luxembourg,1991,381455.0
Belgium-Luxembourg,1992,359352.0
Belgium-Luxembourg,1993,373273.0
Belgium-Luxembourg,1994,355264.0
Belgium-Luxembourg,1995,356628.0
Belgium-Luxembourg,1996,361512.0
Belgium-Luxembourg,1997,339600.0
Belgium-Luxembourg,1998,303400.0
Belgium-Luxembourg,1999,281200.0
Bulgaria,1990,119662.0
Bulgaria,1991,106485.0
Bulgaria,1992,131797.0
Bulgaria,1993,114000.0
Bulgaria,1994,86800.0
Bulgaria,1995,63302.0
Bulgaria,1996,77829.0
Bulgaria,1997,55517.0
Bulgaria,1998,54500.0
Bulgaria,1999,61100.0
Bulgaria,2000,60400.0
Bulgaria,2001,21450.0
Bulgaria,2002,23649.0
Bulgaria,2003,28512.0
Bulgaria,2004,30767.0
Bulgaria,2005,29783.0
Bulgaria,2006,22727.0
Bulgaria,2007,21703.0
Bulgaria,2008,19929.0
Bulgaria,2009,21921.0
Bulgaria,2010,19610.0
Bulgaria,2011,20886.0
Bulgaria,2012,20377.0
Bulgaria,2013,19107.0
Bulgaria,2014,17210.0
Bulgaria,2015,18548.0
Bulgaria,2016,17469.0
Bulgaria,2017,17113.0
Bulgaria,2018,16950.0
Bulgaria,2019,18060.0
Bulgaria,2020,16690.0
Bulgaria,2021,18180.0
Croatia,1992,36778.0
Croatia,1993,33824.0
Croatia,1994,28346.0
Croatia,1995,25838.0
Croatia,1996,21517.0
Croatia,1997,26276.0
Croatia,1998,25691.0
Croatia,1999,27614.0
Croatia,2000,27854.0
Croatia,2001,25570.0
Croatia,2002,26602.0
Croatia,2003,28150.0
