country,year,forest_in_sqkm
Austria,1990,37756.7
Austria,1991,37819.17
Austria,1992,37881.64
Austria,1993,37944.11
Austria,1994,38006.58
Austria,1995,38069.05
Austria,1996,38131.52
Austria,1997,38193.99
Austria,1998,38256.46
Austria,1999,38318.93
Austria,2000,38381.4
Austria,2001,38406.46
Austria,2002,38431.52
Austria,2003,38456.58
Austria,2004,38481.64
Austria,2005,38506.7
Austria,2006,38531.76
Austria,2007,38556.82
Austria,2008,38581.880000000005
Austria,2009,38606.94
Austria,2010,38632.0
Austria,2011,38667.98
Austria,2012,38703.96
Austria,2013,38739.94
Austria,2014,38775.92
Austria,2015,38811.9
Austria,2016,38847.9
Austria,2017,38883.8
Austria,2018,38919.7
Austria,2019,38955.6
Austria,2020,38991.5
Austria,2021,38991.5
Belgium,2000,6673.0
Belgium,2001,6695.57
Belgium,2002,6718.139999999999
Belgium,2003,6740.71
Belgium,2004,6763.28
Belgium,2005,6785.85
Belgium,2006,6808.42
Belgium,2007,6830.990000000001
Belgium,2008,6853.56
Belgium,2009,6876.130000000001
Belgium,2010,6898.7
Belgium,2011,6897.56
Belgium,2012,6896.42
Belgium,2013,6895.280000000001
Belgium,2014,6894.139999999999
Belgium,2015,6893.0
Belgium,2016,6893.0
Belgium,2017,6893.0
Belgium,2018,6893.0
Belgium,2019,6893.0
Belgium,2020,6893.0
Belgium,2021,6893.0
Belgium-Luxembourg,1990,7632.0
Belgium-Luxembourg,1991,7622.799999999999
Belgium-Luxembourg,1992,7613.6
Belgium-Luxembourg,1993,7604.400000000001
Belgium-Luxembourg,1994,7595.2
Belgium-Luxembourg,1995,7586.0
Belgium-Luxembourg,1996,7576.799999999999
Belgium-Luxembourg,1997,7567.6
Belgium-Luxembourg,1998,7558.400000000001
Belgium-Luxembourg,1999,7549.2
Bulgaria,1990,33270.0
Bulgaria,1991,33318.0
Bulgaria,1992,33366.0
Bulgaria,1993,33414.0
Bulgaria,1994,33462.0
Bulgaria,1995,33510.0
Bulgaria,1996,33558.0
Bulgaria,1997,33606.0
Bulgaria,1998,33654.0
Bulgaria,1999,33702.0
Bulgaria,2000,33750.0
Bulgaria,2001,34112.0
Bulgaria,2002,34474.0
Bulgaria,2003,34836.0
Bulgaria,2004,35198.0
Bulgaria,2005,35560.0
Bulgaria,2006,35922.0
Bulgaria,2007,36284.0
Bulgaria,2008,36646.0
Bulgaria,2009,37008.0
Bulgaria,2010,37370.0
Bulgaria,2011,37562.0
Bulgaria,2012,37754.0
Bulgaria,2013,37946.0
Bulgaria,2014,38138.0
Bulgaria,2015,38330.0
Bulgaria,2016,38410.0
Bulgaria,2017,38540.0
Bulgaria,2018,38670.0
Bulgaria,2019,38800.0
Bulgaria,2020,38930.0
Bulgaria,2021,38930.0
Croatia,1992,18570.0
Croatia,1993,18605.0
Croatia,1994,18640.0
Croatia,1995,18675.0
Croatia,1996,18710.0
Croatia,1997,18745.0
Croatia,1998,18780.0
Croatia,1999,18815.0
Croatia,2000,18850.0
Croatia,2001,18885.0
Croatia,2002,18920.0
Croatia,2003,18955.0
Croatia,2004,18990.0
Croatia,2005,19025.0
Croatia,2006,19060.0
Croatia,2007,19095.0
Croatia,2008,19130.0
Croatia,2009,19165.0
Croatia,2010,19200.0
Croatia,2011,19204.0
Croatia,2012,19208.0
Croatia,2013,19212.0
Croatia,2014,19216.0
Croatia,2015,19220.0
Croatia,2016,19241202.0
Croatia,2017,19316.084000000003
Croatia,2018,19341.1
Croatia,2019,19366.1
Croatia,2020,19391.1
Croatia,2021,19391.1
Cyprus,1990,1611.1
