country,year,import_in_tonnes,use_in_tonnes
Austria,2021,32113000.0,331000.0
Austria,2020,67130000.0,35680000.0
Austria,2019,44448000.0,53259000.0
Austria,2018,65340999.99999999,47470000.0
Austria,2017,67784000.0,97921000.0
Austria,2016,16000000.0,138000000.0
Austria,2015,11000000.0,131000000.0
Austria,2014,40000000.0,140000000.0
Austria,2013,58000000.0,162000000.0
Austria,2012,58000000.0,183000000.0
Austria,2011,86000000.0,223000000.0
Austria,2010,173000000.0,230000000.0
Austria,2009,109000000.0,294000000.0
Austria,2008,184000000.0,351000000.0
Austria,2007,183000000.0,362000000.0
Austria,2006,199000000.0,521000000.0
Austria,2005,182000000.0,497000000.0
Austria,2004,306000000.0,607000000.0
Austria,2003,328000000.0,722000000.0
Austria,2002,241000000.0,667000000.0
Austria,2001,316000000.0,770000000.0
Austria,2000,261000000.0,699000000.0
Austria,1999,468000000.0,851000000.0
Austria,1998,671000000.0,986000000.0
Austria,1997,592000000.0,1128000000.0
Austria,1996,386000000.0,1137000000.0
Austria,1995,532000000.0,1057000000.0
Austria,1994,456000000.0,1052000000.0
Austria,1993,622000000.0,1176000000.0
Austria,1992,376000000.0,1152000000.0
Austria,1991,480000000.0,1309000000.0
Austria,1990,602000000.0,1444000000.0
Belgium,2021,6123000000.0,18800000.0
Belgium,2020,4302200000.0,70100000.0
Belgium,2019,5733000000.0,71700000.0
Belgium,2018,6127000000.0,82500000.0
Belgium,2017,4987700000.0,82200000.0
Belgium,2016,4079000000.0,84000000.0
Belgium,2015,3892000000.0,98000000.0
Belgium,2014,3700000000.0,98000000.0
Belgium,2013,5270000000.0,146000000.0
Belgium,2012,4420000000.0,203000000.0
Belgium,2011,4914000000.0,292000000.0
Belgium,2010,5587000000.0,375000000.0
Belgium,2009,5904000000.0,607000000.0
Belgium,2008,7641000000.0,624000000.0
Belgium,2007,7002000000.0,726000000.0
Belgium,2006,7097000000.0,873000000.0
Belgium,2005,5982000000.0,993000000.0
Belgium,2004,5364000000.0,991000000.0
Belgium,2003,4457000000.0,1219000000.0
Belgium,2002,3678000000.0,852000000.0
Belgium,2001,2886000000.0,1228000000.0
Belgium,2000,2347000000.0,1102000000.0
Belgium,1999,2227000000.0,1528000000.0
Belgium,1998,2833000000.0,1545000000.0
Belgium,1997,2799000000.0,1470000000.0
Belgium,1996,2814000000.0,1618000000.0
Belgium,1995,2778000000.0,1789000000.0
Belgium,1994,3506000000.0,1908000000.0
Belgium,1993,3100000000.0,1888000000.0
Belgium,1992,3036000000.0,2029000000.0
Belgium,1991,2779000000.0,2025000000.0
Belgium,1990,3201000000.0,1550000000.0
Bulgaria,2021,110264000.0,0.0
Bulgaria,2020,60339000.0,16457999.999999998
Bulgaria,2019,34801000.0,20680000.0
Bulgaria,2018,27252000.0,21172000.0
Bulgaria,2017,57625000.0,28606000.0
Bulgaria,2016,73000000.0,39000000.0
Bulgaria,2015,79000000.0,49000000.0
Bulgaria,2014,72000000.0,35000000.0
Bulgaria,2013,38000000.0,44000000.0
Bulgaria,2012,59000000.0,68000000.0
Bulgaria,2011,29000000.0,85000000.0
Bulgaria,2010,43000000.0,96000000.0
Bulgaria,2009,64000000.0,117000000.0
Bulgaria,2008,56000000.0,161000000.0
Bulgaria,2007,78000000.0,208000000.0
Bulgaria,2006,77000000.0,263000000.0
Bulgaria,2005,93000000.0,252000000.0
Bulgaria,2004,136000000.0,263000000.0
Bulgaria,2003,131000000.0,270000000.0
Bulgaria,2002,79000000.0,435000000.0
Bulgaria,2001,57000000.0,457000000.0
Bulgaria,2000,21000000.0,539000000.0
Bulgaria,1999,16000000.0,783000000.0
Bulgaria,1998,31000000.0,934000000.0
Bulgaria,1997,22000000.0,1137000000.0
Bulgaria,1996,215000000.0,252000000.0
Bulgaria,1995,290000000.0,315000000.0
Bulgaria,1994,337000000.0,526000000.0
Bulgaria,1993,476000000.0,271000000.0
Bulgaria,1992,1388000000.0,288000000.0
Bulgaria,1991,1123000000.0,632000000.0
Bulgaria,1990,862000000.0,603000000.0
Croatia,2020,5900000.0,12400000.0
Croatia,2019,41000000.0,15900000.0
Croatia,2018,57100000.0,16100000.000000002
Croatia,2017,47500000.0,19400000.0
Croatia,2016,46000000.0,29000000.0
Croatia,2015,56000000.0,32000000.0
Croatia,2014,30000000.0,31000000.0
Croatia,2013,0.0,38000000.0
Croatia,2012,63000000.0,59000000.0
Croatia,2011,13000000.0,80000000.0
Croatia,2010,57000000.0,80000000.0
Croatia,2009,75000000.0,110000000.0
Croatia,2008,74000000.0,134000000.0
Croatia,2007,97000000.0,155000000.0
Croatia,2006,118000000.0,212000000.0
Croatia,2005,85000000.0,209000000.0
Croatia,2004,213000000.0,250000000.0
Croatia,2003,326000000.0,311000000.0
Croatia,2002,331000000.0,356000000.0
Croatia,2001,137000000.0,333000000.0
Croatia,2000,47000000.0,311000000.0
Croatia,1999,43000000.0,314000000.0
Croatia,1998,226000000.0,297000000.0
Croatia,1997,54000000.0,290000000.0
Croatia,1996,115000000.0,223000000.0
Croatia,1995,132000000.0,256000000.0
Croatia,1994,119000000.0,295000000.0
Croatia,1993,50000000.0,279000000.0
Croatia,1992,192000000.0,267000000.0
Cyprus,2020,771640000.0,30337000.0
Cyprus,2019,967650000.0,33810000.0
Cyprus,2018,1015751000.0,33584000.0
Cyprus,2017,980414000.0,33329000.0
Cyprus,2016,1095000000.0,30000000.0
Cyprus,2015,1053000000.0,25000000.0
Cyprus,2014,942000000.0,25000000.0
Cyprus,2013,830000000.0,23000000.0
Cyprus,2012,1072000000.0,29000000.0
Cyprus,2011,1153000000.0,51000000.0
Cyprus,2010,1317000000.0,47000000.0
Cyprus,2009,1356000000.0,49000000.0
Cyprus,2008,1479000000.0,65000000.0
Cyprus,2007,1403000000.0,67000000.0
Cyprus,2006,1404000000.0,56000000.0
Cyprus,2005,1298000000.0,66000000.0
Cyprus,2004,925000000.0,68000000.0
Cyprus,2003,821000000.0,62000000.0
Cyprus,2002,690000000.0,55000000.0
Cyprus,2001,585000000.0,54000000.0
Cyprus,2000,637000000.0,70000000.0
Cyprus,1999,586000000.0,68000000.0
Cyprus,1998,515000000.0,68000000.0
Cyprus,1997,476000000.0,70000000.0
Cyprus,1996,599000000.0,111000000.0
Cyprus,1995,539000000.0,97000000.0
Cyprus,1994,546000000.0,110000000.0
Cyprus,1993,577000000.0,100000000.0
Cyprus,1992,509000000.0,118000000.0
Cyprus,1991,510000000.0,124000000.0
Cyprus,1990,460000000.0,37000000.0
Czechia,2021,17000000.0,0.0
Czechia,2020,14000000.0,40000000.0
Czechia,2018,2000000.0,27000000.0
Czechia,2016,0.0,39000000.0
Czechia,2015,2000000.0,29000000.0
Czechia,2014,13000000.0,38000000.0
Czechia,2013,13000000.0,52000000.0
Czechia,2012,29000000.0,67000000.0
Czechia,2011,29000000.0,81000000.0
Czechia,2010,72000000.0,140000000.0
Czechia,2009,106000000.0,147000000.0
Czechia,2008,69000000.0,182000000.0
Czechia,2007,118000000.0,250000000.0
Czechia,2006,144000000.0,243000000.0
Czechia,2005,100000000.0,415000000.0
Czechia,2004,205000000.0,475000000.0
Czechia,2003,140000000.0,407000000.0
Czechia,2002,212000000.0,404000000.0
Czechia,2001,271000000.0,468000000.0
Czechia,2000,181000000.0,442000000.0
Czechia,1999,295000000.0,662000000.0
Czechia,1998,360000000.0,850000000.0
Czechia,1997,203000000.0,719000000.0
Czechia,1996,185000000.0,740000000.0
Czechia,1995,168000000.0,746000000.0
Czechia,1994,331000000.0,1206000000.0
Czechia,1993,586000000.0,1586000000.0
Czechia,1992,545000000.0,1621000000.0
Denmark,2021,1862000000.0,3400000.0
Denmark,2020,3253085000.0,51051000.0
Denmark,2019,2432027000.0,40332000.0
Denmark,2018,1796100000.0,26198000.0
Denmark,2017,980498000.0,49460000.0
Denmark,2016,3412000000.0,45000000.0
Denmark,2015,3873000000.0,48000000.0
Denmark,2014,3316000000.0,74000000.0
Denmark,2013,2953000000.0,78000000.0
Denmark,2012,1724000000.0,121000000.0
Denmark,2011,2040000000.0,134000000.0
Denmark,2010,2536000000.0,174000000.0
Denmark,2009,1212000000.0,140000000.0
Denmark,2008,1983000000.0,177000000.0
Denmark,2007,1491000000.0,206000000.0
Denmark,2006,1108000000.0,277000000.0
Denmark,2005,1200000000.0,209000000.0
Denmark,2004,900000000.0,235000000.0
Denmark,2003,921000000.0,243000000.0
Denmark,2002,662000000.0,294000000.0
Denmark,2001,735000000.0,264000000.0
Denmark,2000,749000000.0,293000000.0
Denmark,1999,655000000.0,322000000.0
Denmark,1998,902000000.0,380000000.0
Denmark,1997,808000000.0,383000000.0
Denmark,1996,940000000.0,447000000.0
Denmark,1995,798000000.0,469000000.0
Denmark,1994,1251000000.0,505000000.0
Denmark,1993,860000000.0,502000000.0
Denmark,1992,547000000.0,603000000.0
Denmark,1991,415000000.0,630000000.0
Denmark,1990,324000000.0,578000000.0
Estonia,2021,582000000.0,0.0
Estonia,2020,526000000.0,23440000.0
Estonia,2019,437000000.0,22000000.0
Estonia,2018,474000000.0,8189999.999999999
Estonia,2017,441000000.0,6490000.0
Estonia,2016,371000000.0,18000000.0
Estonia,2015,351000000.0,20000000.0
Estonia,2014,602000000.0,15000000.0
Estonia,2013,448000000.0,13000000.0
Estonia,2012,906000000.0,15000000.0
Estonia,2011,169000000.0,15000000.0
Estonia,2010,210000000.0,19000000.0
Estonia,2009,220000000.0,14000000.0
Estonia,2008,232000000.0,20000000.0
Estonia,2007,232000000.0,21000000.0
Estonia,2006,181000000.0,36000000.0
Estonia,2005,88000000.0,46000000.0
Estonia,2004,112000000.0,66000000.0
Estonia,2003,86000000.0,37000000.0
Estonia,2002,129000000.0,74000000.0
Estonia,2001,125000000.0,101000000.0
Estonia,2000,154000000.0,88000000.0
Estonia,1999,296000000.0,102000000.0
Estonia,1998,444000000.0,138000000.0
Estonia,1997,365000000.0,184000000.0
Estonia,1996,478000000.0,243000000.0
Estonia,1995,439000000.0,235000000.0
Estonia,1994,662000000.0,252000000.0
Estonia,1993,778000000.0,337000000.0
Estonia,1992,733000000.0,302000000.0
Finland,2021,641000000.0,42000000.0
Finland,2020,457000000.0,197000000.0
Finland,2019,601000000.0,209000000.0
Finland,2018,449000000.0,247000000.0
Finland,2017,902000000.0,269000000.0
Finland,2016,1221000000.0,291000000.0
Finland,2015,1101000000.0,285000000.0
Finland,2014,1255000000.0,310000000.0
Finland,2013,793000000.0,342000000.0
Finland,2012,809000000.0,380000000.0
Finland,2011,695000000.0,424000000.0
Finland,2010,723000000.0,464000000.0
Finland,2009,581000000.0,402000000.0
Finland,2008,800000000.0,501000000.0
Finland,2007,786000000.0,595000000.0
Finland,2006,737000000.0,700000000.0
Finland,2005,803000000.0,702000000.0
Finland,2004,654000000.0,791000000.0
Finland,2003,983000000.0,766000000.0
Finland,2002,806000000.0,776000000.0
Finland,2001,654000000.0,833000000.0
Finland,2000,674000000.0,806000000.0
Finland,1999,978000000.0,828000000.0
Finland,1998,953000000.0,972000000.0
Finland,1997,1560000000.0,873000000.0
Finland,1996,1840000000.0,978000000.0
Finland,1995,1515000000.0,1210000000.0
Finland,1994,2091000000.0,1193000000.0
Finland,1993,954000000.0,1177000000.0
Finland,1992,793000000.0,1322000000.0
Finland,1991,883000000.0,1381000000.0
Finland,1990,1173000000.0,1365000000.0
France,2021,1523740000.0,29000000.0
France,2020,2026000000.0,188445000.0
France,2019,2883000000.0,221089000.0
France,2018,3422000000.0,268387000.0
France,2017,3584000000.0,335658000.0
France,2016,4203000000.0,456000000.0
France,2015,3728000000.0,566000000.0
France,2014,5623000000.0,548000000.0
France,2013,5644000000.0,718000000.0
France,2012,6547000000.0,848000000.0
France,2011,8546000000.0,1000000000.0
France,2010,8212000000.0,1026000000.0
