country,year,import_in_usd,export_in_usd
Austria,2018,184195200603.949,176991970620.195
Austria,2017,166475080970.019,159970530802.934
Austria,2016,149987386054.557,144700690215.736
Austria,2015,147927653250.615,145275530315.014
Austria,2014,172446638357.056,169712859499.776
Austria,2013,173366037687.729,166273910254.833
Austria,2012,169657276310.24,158820719332.351
Austria,2011,182349823981.0,169511432541.0
Austria,2010,150592664071.0,144882002012.0
Austria,2009,136418429213.0,131387248005.0
Austria,2008,175025754112.0,172227951752.0
Austria,2007,156055652650.0,156588406562.0
Austria,2006,134356314386.0,134169531326.0
Austria,2005,119950092010.0,117721712170.0
Austria,2004,111261147199.0,110829757357.0
Austria,2003,91595357834.0,89256767360.0
Austria,2002,72796195961.0,73112664770.0
Austria,2001,70491571059.0,66492423852.0
Austria,2000,68373911913.0,63674699062.0
Austria,1999,66003473393.0,59271554655.0
Austria,1998,67098177536.0,60856832000.0
Austria,1997,63630995456.0,56713719808.0
Austria,1996,67283750912.0,57830457344.0
Austria,1995,66405670912.0,57582931968.0
Austria,1994,55290413056.0,45072183296.0
Belgium,2018,454713800856.886,468643264452.215
Belgium,2017,409024843777.361,430092419275.299
Belgium,2016,379298335402.493,398306080228.12
Belgium,2015,371025046731.0,397739156690.0
Belgium,2014,452772540874.0,472201274292.0
Belgium,2013,488527196756.0,511505015004.0
Belgium,2012,437882665741.0,446854421188.0
Belgium,2011,466348604445.0,475957504390.0
Belgium,2010,391255897338.0,407595914298.0
Belgium,2009,354586368473.0,370879193628.0
Belgium,2008,466338013887.0,471797820094.0
Belgium,2007,413035800320.0,431743842738.0
Belgium,2006,353093659615.0,366835492350.0
Belgium,2005,319085461278.0,335691778058.0
Belgium,2004,286478237982.0,307690419647.0
Belgium,2003,234922194436.0,255553660880.0
Belgium,2002,198094630569.0,215803005428.0
Belgium,2001,178697512388.0,190309486976.0
Belgium,2000,176990651494.0,187838904743.0
Belgium,1999,164603472960.0,178866828247.0
Belgium-Luxembourg,1998,166721634304.0,178615435264.0
Belgium-Luxembourg,1997,159458607104.0,172699795456.0
Belgium-Luxembourg,1996,157996204032.0,168343584768.0
Belgium-Luxembourg,1995,153388335104.0,168153612288.0
Bulgaria,2018,37927842259.0892,33787143989.759
Bulgaria,2017,34263590069.6647,31588418276.1586
Bulgaria,2016,28958139912.6033,26688182909.3707
Bulgaria,2015,29265116176.0,25778745945.0
Bulgaria,2014,34740042449.0,29386540311.0
Bulgaria,2013,34316572909.0,29510574320.0
Bulgaria,2012,32743133695.0,26698780088.0
Bulgaria,2011,32493611423.0,28165219747.0
Bulgaria,2010,25359886220.0,20608005156.0
Bulgaria,2009,23340811547.0,16502519893.0
Bulgaria,2008,37015366386.0,22485509057.0
Bulgaria,2007,30085387539.0,18575129425.0
Bulgaria,2006,23268729351.0,15101457070.0
Bulgaria,2005,18162452722.0,11739329329.0
Bulgaria,2004,14467100657.0,9931087433.0
Bulgaria,2003,10886579888.0,7540175591.0
Bulgaria,2002,7987045940.0,5748869468.0
Bulgaria,2001,7278158957.0,5113888232.0
Bulgaria,2000,6504688325.0,4821843864.0
Bulgaria,1999,5409527038.0,3924528950.0
Bulgaria,1998,4995096064.0,4292926720.0
Bulgaria,1997,4931953664.0,4939664384.0
Bulgaria,1996,5073922048.0,4890187776.0
Croatia,2018,28113089203.0,17210469290.0
Croatia,2017,24512646924.0,15732485216.0
Croatia,2016,21829864971.0,13647534058.0
Croatia,2015,20580470841.0,12843529322.0
Croatia,2014,22906873370.0,13843899840.0
Croatia,2013,21931993510.0,12741618485.0
Croatia,2012,20834262292.0,12368983411.0
Croatia,2011,22714694002.0,13364022440.0
Croatia,2010,20067004556.0,11810676241.0
Croatia,2009,21204851207.0,10491835496.0
Croatia,2008,30726986737.0,14123674785.0
Croatia,2007,25829460931.0,12360221564.0
Croatia,2006,21502493972.0,10376964369.0
Croatia,2005,18560366869.0,8772552653.0
Croatia,2004,16589172476.0,8024156751.0
Croatia,2003,14209034610.0,6186630195.0
Croatia,2002,10722045127.0,4903584487.0
Croatia,2001,9147129932.0,4665908208.0
Croatia,2000,7886511618.0,4431597348.0
Croatia,1999,7777378559.0,4279690427.0
Croatia,1998,8383010304.0,4541103616.0
Croatia,1997,9122318336.0,4340856320.0
Croatia,1996,7787760128.0,4511729152.0
Croatia,1995,7509185024.0,4632655872.0
