country,year,wheat_in_tonnes
Austria,1990,1404468.0
Austria,1991,1375253.0
Austria,1992,1325401.0
Austria,1993,1018013.0
Austria,1994,1255122.0
Austria,1995,1301445.0
Austria,1996,1239723.0
Austria,1997,1352281.0
Austria,1998,1341820.0
Austria,1999,1416200.0
Austria,2000,1312962.0
Austria,2001,1508283.0
Austria,2002,1434208.07
Austria,2003,1191380.0
Austria,2004,1718825.23
Austria,2005,1453072.0
Austria,2006,1396300.0
Austria,2007,1399341.0
Austria,2008,1689688.0
Austria,2009,1523368.0
Austria,2010,1517805.0
Austria,2011,1781837.0
Austria,2012,1275498.0
Austria,2013,1597706.42
Austria,2014,1804018.24
Austria,2015,1725736.81
Austria,2016,1970363.6
Austria,2017,1437143.0
Austria,2018,1367060.0
Austria,2019,1596880.0
Austria,2020,1652740.0
Austria,2021,1547600.0
Belgium,2000,1687700.0
Belgium,2001,1457400.0
Belgium,2002,1675000.0
Belgium,2003,1640364.0
Belgium,2004,1913177.0
Belgium,2005,1768410.0
Belgium,2006,1661958.0
Belgium,2007,1577342.0
Belgium,2008,1850406.0
Belgium,2009,1909768.0
Belgium,2010,1849584.0
Belgium,2011,1687749.0
Belgium,2012,1834624.0
Belgium,2013,1803550.0
Belgium,2014,1994600.0
Belgium,2015,2019347.0
Belgium,2016,1400074.0
Belgium,2017,1702721.0
Belgium,2018,1661860.0
Belgium,2019,1902380.0
Belgium,2020,1741480.0
Belgium,2021,1629180.0
Belgium-Luxembourg,1990,1339516.0
Belgium-Luxembourg,1991,1438012.0
Belgium-Luxembourg,1992,1410680.0
Belgium-Luxembourg,1993,1511632.0
Belgium-Luxembourg,1994,1553828.0
Belgium-Luxembourg,1995,1531395.0
Belgium-Luxembourg,1996,1908529.0
Belgium-Luxembourg,1997,1717654.0
Belgium-Luxembourg,1998,1832000.0
Belgium-Luxembourg,1999,1528471.0
Bulgaria,1990,5292233.0
Bulgaria,1991,4497045.0
Bulgaria,1992,3442555.0
Bulgaria,1993,3618220.0
Bulgaria,1994,3754310.0
Bulgaria,1995,3435250.0
Bulgaria,1996,1802110.0
Bulgaria,1997,3574840.0
Bulgaria,1998,3203359.0
Bulgaria,1999,2642973.0
Bulgaria,2000,2781242.0
Bulgaria,2001,4077497.0
Bulgaria,2002,4122765.0
Bulgaria,2003,2003937.0
Bulgaria,2004,3961178.0
Bulgaria,2005,3478066.0
Bulgaria,2006,3301882.0
Bulgaria,2007,2390610.0
Bulgaria,2008,4632210.0
Bulgaria,2009,3976852.0
Bulgaria,2010,4094597.0
Bulgaria,2011,4458492.0
Bulgaria,2012,4455104.0
Bulgaria,2013,5504941.0
Bulgaria,2014,5347078.0
Bulgaria,2015,5011597.0
Bulgaria,2016,5662721.0
Bulgaria,2017,6132671.0
Bulgaria,2018,5954520.0
Bulgaria,2019,6319630.0
Bulgaria,2020,4847940.0
Bulgaria,2021,7342990.0
Croatia,1992,658019.0
Croatia,1993,886921.0
Croatia,1994,750330.0
Croatia,1995,876507.0
Croatia,1996,741235.0
Croatia,1997,833508.0
Croatia,1998,1020450.0
Croatia,1999,558217.0
Croatia,2000,865260.0
Croatia,2001,811674.0
Croatia,2002,822650.0
Croatia,2003,506212.0
Croatia,2004,801424.0
Croatia,2005,601748.0
Croatia,2006,804601.0
Croatia,2007,812347.0
Croatia,2008,858333.0
Croatia,2009,936076.0
Croatia,2010,681017.0
Croatia,2011,782499.0
Croatia,2012,999681.0
Croatia,2013,998940.0
Croatia,2014,648917.0
Croatia,2015,758638.0
Croatia,2016,969050.0
Croatia,2017,687595.0
Croatia,2018,753060.0
Croatia,2019,803270.0
Croatia,2020,867530.0
Croatia,2021,986930.0
Cyprus,1990,10400.0
Cyprus,1991,5600.0
Cyprus,1992,10500.0
Cyprus,1993,11700.0
Cyprus,1994,8000.0
Cyprus,1995,11000.0
Cyprus,1996,13000.0
Cyprus,1997,11500.0
Cyprus,1998,11500.0
Cyprus,1999,14000.0
Cyprus,2000,10000.0
Cyprus,2001,10500.0
Cyprus,2002,12900.0
Cyprus,2003,14280.0
Cyprus,2004,9930.0
Cyprus,2005,9249.0
Cyprus,2006,7518.0
Cyprus,2007,10712.0
Cyprus,2008,2472.0
Cyprus,2009,14690.0
Cyprus,2010,18889.0
Cyprus,2011,23740.0
Cyprus,2012,22923.0
Cyprus,2013,15181.0
Cyprus,2014,4445.0
Cyprus,2015,35356.0
Cyprus,2016,6902.0
Cyprus,2017,16592.0
Cyprus,2018,15330.0
Cyprus,2019,29470.0
Cyprus,2020,32270.0
Cyprus,2021,25580.0
Czechia,1993,3304271.0
Czechia,1994,3713476.0
Czechia,1995,3822769.0
Czechia,1996,3727203.0
Czechia,1997,3640269.0
Czechia,1998,3844741.0
Czechia,1999,4028271.0
