Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2002","2002","°C","1.23","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2003","2003","°C","-0.528","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2004","2004","°C","1.022","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2005","2005","°C","0.999","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2006","2006","°C","-0.282","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2007","2007","°C","2.955","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2008","2008","°C","2.727","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2009","2009","°C","0.802","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2010","2010","°C","-0.64","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2011","2011","°C","-0.471","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2012","2012","°C","0.708","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2013","2013","°C","0.48","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2014","2014","°C","2.831","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2015","2015","°C","1.99","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2016","2016","°C","2.893","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2017","2017","°C","1.474","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2018","2018","°C","1.37","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2019","2019","°C","2.012","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2020","2020","°C","3.989","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7016","Dec–Jan–Feb","2021","2021","°C","2.023","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2002","2002","°C","1.84","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2003","2003","°C","1.547","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2004","2004","°C","0.789","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2005","2005","°C","0.769","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2006","2006","°C","0.657","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2007","2007","°C","2.496","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2008","2008","°C","1.39","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2009","2009","°C","1.821","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2010","2010","°C","0.938","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2011","2011","°C","2.078","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2012","2012","°C","1.835","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2013","2013","°C","0.312","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2014","2014","°C","2.337","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2015","2015","°C","1.802","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2016","2016","°C","1.724","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2017","2017","°C","1.942","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2018","2018","°C","2.097","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2019","2019","°C","1.702","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2020","2020","°C","1.808","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7017","Mar–Apr–May","2021","2021","°C","0.733","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2002","2002","°C","1.591","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2003","2003","°C","2.686","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2004","2004","°C","0.883","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2005","2005","°C","1.068","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2006","2006","°C","1.75","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2007","2007","°C","1.3","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2008","2008","°C","1.031","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2009","2009","°C","1.311","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2010","2010","°C","1.627","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2011","2011","°C","1.281","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2012","2012","°C","1.509","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2013","2013","°C","1.529","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2014","2014","°C","1.137","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2015","2015","°C","1.752","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2016","2016","°C","1.645","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2017","2017","°C","1.757","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2018","2018","°C","2.455","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2019","2019","°C","2.321","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2020","2020","°C","1.846","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7018","Jun–Jul–Aug","2021","2021","°C","2.112","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2002","2002","°C","0.117","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2003","2003","°C","0.429","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2004","2004","°C","0.876","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2005","2005","°C","1.178","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2006","2006","°C","2.267","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2007","2007","°C","-0.007","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2008","2008","°C","0.463","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2009","2009","°C","1.385","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2010","2010","°C","0.075","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2011","2011","°C","1.677","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2012","2012","°C","1.274","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2013","2013","°C","1.307","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2014","2014","°C","1.944","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2015","2015","°C","1.533","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2016","2016","°C","1.058","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2017","2017","°C","1.06","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2018","2018","°C","1.923","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2019","2019","°C","1.546","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2020","2020","°C","2.055","E","Estimated value"
"ET","Temperature change","097","European Union (27)","7271","Temperature change","7019","Sep–Oct–Nov","2021","2021","°C","1.138","E","Estimated value"
