TIME;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgium;387;396;399;407;416;421;427;433;440;448;456;460;462;464;467;468;470;473;477;479;480;488;489;491;494;497;503;508;511;511;510;510
Bulgaria;152;158;166;178;188;197;205;209;220;233;245;265;279;298;317;333;233;277;317;337;353;368;385;402;418;442;443;393;396;407;414;414
Czechia;234;247.1;260.1;274;283;295;310;329;339;335;336;346;358;364;374;387;401;414;424;424;429;436;448;450;459;485;502;522;540;554;565;579
Denmark;309;309;310;311;309;320;330;337;342;346;347;349;351;455;455.1;455.1;455;466;468;442.1;381;394;399;405;412;419;429;438;447;455;466;475
Germany;385;390;433;477;488;494;500;504;508;515;532;538;541;546;550;559;566;501;504;510;527;534;539;543;547;548;555;561;567;574;580;583
Estonia;154;171;188;215;233;269;289;307;327;327;333;294;291;318;347;366;413;391;413;409;416;433;456;478;497;514;534;550;563;598;608;620
Ireland;227;236;241;249;261;274;289;307;321;336;344;360;371;380;385;395;410;422;442;434;426;428;426;427;431;436;439;444;445;454;458;456
Greece;169;171;175;187;197;208;220;234;249;272;295;314;334;351;371;391;412;434;453;462;469;469;470;469;471;474;479;487;493;504;514;529
Spain;309;321;334;341;346;357;371.1;385.1;400.1;416;429;442;448;439;451;460.1;470;476;479;473;475;476;476;474;474;481;492;504;513;519;521;525
France;404;406;408;413;420;422;427;435;446;454;460;467;471;475;476;476;478;480;483.1;486;538;540;542;546;551;558;564;569;569;571;569;571
Croatia;166;160;147;139;150;155;184;205;221;235;261;275;285;298;308;319;331;350;360;358;355;355;339;341;349;358;374;389;409;425;433;463
Italy;483;502;518;522;522;533;536;540;555;563;572;583;590;597;587;597;606;608;612;614;619;625;621;608;610;616;625;637;652;663;671;675
Cyprus;305;315;320;321;325;335;341;348;365;372;384;397;404;419;458;477;492;529;557;563;551;545;549;553;565;575;595;609;629;645;645;655
Latvia;125;124;135;145;101;134;155;178;201;221;237;253;269;285;305;333;372;413;431;426;307;299;305;317;331;345;341;356;369;381;390;404
Lithuania;133;143;153;163;179;199;219;248;277;310;336;328;344;370;392;442;490;494;525;540;554;570;590;615;413;431;456;483;512;536;560;574
Luxembourg;499;516;529;545;565;572.1;579.1;585.1;592;607;622;633;640;644;648;654;662;666;665;660;659;658;663;661;662;661;662;670;676;681;682;681
Hungary;187;194;199;202;211;218;220;224;216;221;232;244;259;274;280;287;319;325;305;301;299;299;301;308;315;325;338;355;373;390;403;415
Malta;302;333;338;409;453;478;436;478;450;470;483;495;508;512.1;518.1;525;537;549;558;566;581;592;591;596;605;611;615;613;608;597;597;601
