Domain,Area,Element,Months,Year,Unit,Value
"Temperature change","Austria","Temperature change","January","2000","°C","-0.244"
"Temperature change","Austria","Temperature change","January","2001","°C","1.924"
"Temperature change","Austria","Temperature change","January","2002","°C","1.392"
"Temperature change","Austria","Temperature change","January","2003","°C","0.363"
"Temperature change","Austria","Temperature change","January","2004","°C","0.074"
"Temperature change","Austria","Temperature change","January","2005","°C","1.578"
"Temperature change","Austria","Temperature change","January","2006","°C","-1.775"
"Temperature change","Austria","Temperature change","January","2007","°C","5.623"
"Temperature change","Austria","Temperature change","January","2008","°C","4.044"
"Temperature change","Austria","Temperature change","January","2009","°C","-0.478"
"Temperature change","Austria","Temperature change","January","2010","°C","-0.947"
"Temperature change","Austria","Temperature change","January","2011","°C","1.724"
"Temperature change","Austria","Temperature change","January","2012","°C","2.554"
"Temperature change","Austria","Temperature change","January","2013","°C","1.974"
"Temperature change","Austria","Temperature change","February","2000","°C","3.23"
"Temperature change","Austria","Temperature change","February","2001","°C","2.409"
"Temperature change","Austria","Temperature change","February","2002","°C","4.491"
"Temperature change","Austria","Temperature change","February","2003","°C","-2.714"
"Temperature change","Austria","Temperature change","February","2004","°C","1.567"
"Temperature change","Austria","Temperature change","February","2005","°C","-2.294"
"Temperature change","Austria","Temperature change","February","2006","°C","-0.877"
"Temperature change","Austria","Temperature change","February","2007","°C","4.336"
"Temperature change","Austria","Temperature change","February","2008","°C","3.375"
"Temperature change","Austria","Temperature change","February","2009","°C","0.295"
"Temperature change","Austria","Temperature change","February","2010","°C","0.011"
"Temperature change","Austria","Temperature change","February","2011","°C","0.846"
"Temperature change","Austria","Temperature change","February","2012","°C","-3.401"
"Temperature change","Austria","Temperature change","February","2013","°C","-0.65"
"Temperature change","Austria","Temperature change","March","2000","°C","1.71"
"Temperature change","Austria","Temperature change","March","2001","°C","2.979"
"Temperature change","Austria","Temperature change","March","2002","°C","2.79"
"Temperature change","Austria","Temperature change","March","2003","°C","2.047"
"Temperature change","Austria","Temperature change","March","2004","°C","-0.098"
"Temperature change","Austria","Temperature change","March","2005","°C","-0.356"
"Temperature change","Austria","Temperature change","March","2006","°C","-1.246"
"Temperature change","Austria","Temperature change","March","2007","°C","2.636"
"Temperature change","Austria","Temperature change","March","2008","°C","1.062"
"Temperature change","Austria","Temperature change","March","2009","°C","0.778"
"Temperature change","Austria","Temperature change","March","2010","°C","0.785"
"Temperature change","Austria","Temperature change","March","2011","°C","1.956"
"Temperature change","Austria","Temperature change","March","2012","°C","3.8"
"Temperature change","Austria","Temperature change","March","2013","°C","-1.13"
"Temperature change","Austria","Temperature change","April","2000","°C","3.28"
"Temperature change","Austria","Temperature change","April","2001","°C","-0.224"
"Temperature change","Austria","Temperature change","April","2002","°C","0.567"
"Temperature change","Austria","Temperature change","April","2003","°C","0.37"
"Temperature change","Austria","Temperature change","April","2004","°C","1.492"
"Temperature change","Austria","Temperature change","April","2005","°C","1.397"
"Temperature change","Austria","Temperature change","April","2006","°C","1.551"
"Temperature change","Austria","Temperature change","April","2007","°C","4.122"
"Temperature change","Austria","Temperature change","April","2008","°C","0.865"
"Temperature change","Austria","Temperature change","April","2009","°C","4.061"
